COD_UF,NOME_UF,COD_RGINT,NOME_RGINT,COD_RGI,NOME_RGI,COD_MESO,NOME_MESO,COD_MICRO,NOME_MICRO,COD_MUN,NOME_MUN
31,Minas Gerais,3103,Teófilo Otoni,310018,Pedra Azul,3102,Norte de Minas,31005,Salinas,3101003,Águas Vermelhas
31,Minas Gerais,3102,Montes Claros,310008,Salinas,3102,Norte de Minas,31005,Salinas,3106655,Berizal
31,Minas Gerais,3102,Montes Claros,310006,Montes Claros,3102,Norte de Minas,31009,Bocaiúva,3107307,Bocaiúva
31,Minas Gerais,3102,Montes Claros,310009,Januária,3102,Norte de Minas,31003,Januária,3108255,Bonito de Minas
31,Minas Gerais,3102,Montes Claros,310006,Montes Claros,3102,Norte de Minas,31008,Grão Mogol,3108503,Botumirim
31,Minas Gerais,3102,Montes Claros,310006,Montes Claros,3102,Norte de Minas,31007,Montes Claros,3108602,Brasília de Minas
31,Minas Gerais,3102,Montes Claros,310010,Pirapora,3102,Norte de Minas,31006,Pirapora,3109402,Buritizeiro
31,Minas Gerais,3102,Montes Claros,310006,Montes Claros,3102,Norte de Minas,31007,Montes Claros,3111150,Campo Azul
31,Minas Gerais,3102,Montes Claros,310006,Montes Claros,3102,Norte de Minas,31007,Montes Claros,3112703,Capitão Enéas
31,Minas Gerais,3102,Montes Claros,310012,Espinosa,3102,Norte de Minas,31004,Janaúba,3115474,Catuti
31,Minas Gerais,3102,Montes Claros,310011,São Francisco,3102,Norte de Minas,31003,Januária,3116159,Chapada Gaúcha
31,Minas Gerais,3102,Montes Claros,310006,Montes Claros,3102,Norte de Minas,31007,Montes Claros,3116506,Claro dos Poções
31,Minas Gerais,3102,Montes Claros,310009,Januária,3102,Norte de Minas,31003,Januária,3117836,Cônego Marinho
31,Minas Gerais,3102,Montes Claros,310006,Montes Claros,3102,Norte de Minas,31007,Montes Claros,3118809,Coração de Jesus
31,Minas Gerais,3102,Montes Claros,310006,Montes Claros,3102,Norte de Minas,31008,Grão Mogol,3120300,Cristália
31,Minas Gerais,3102,Montes Claros,310008,Salinas,3102,Norte de Minas,31005,Salinas,3120870,Curral de Dentro
31,Minas Gerais,3103,Teófilo Otoni,310018,Pedra Azul,3102,Norte de Minas,31005,Salinas,3122355,Divisa Alegre
31,Minas Gerais,3102,Montes Claros,310006,Montes Claros,3102,Norte de Minas,31009,Bocaiúva,3123809,Engenheiro Navarro
31,Minas Gerais,3102,Montes Claros,310012,Espinosa,3102,Norte de Minas,31004,Janaúba,3124302,Espinosa
31,Minas Gerais,3102,Montes Claros,310006,Montes Claros,3102,Norte de Minas,31009,Bocaiúva,3126604,Francisco Dumont
31,Minas Gerais,3102,Montes Claros,310006,Montes Claros,3102,Norte de Minas,31007,Montes Claros,3126703,Francisco Sá
31,Minas Gerais,3102,Montes Claros,310008,Salinas,3102,Norte de Minas,31005,Salinas,3127073,Fruta de Leite
31,Minas Gerais,3102,Montes Claros,310012,Espinosa,3102,Norte de Minas,31004,Janaúba,3127339,Gameleiras
31,Minas Gerais,3102,Montes Claros,310006,Montes Claros,3102,Norte de Minas,31007,Montes Claros,3127354,Glaucilândia
31,Minas Gerais,3102,Montes Claros,310006,Montes Claros,3102,Norte de Minas,31008,Grão Mogol,3127800,Grão Mogol
31,Minas Gerais,3102,Montes Claros,310006,Montes Claros,3102,Norte de Minas,31009,Bocaiúva,3128253,Guaraciama
31,Minas Gerais,3102,Montes Claros,310010,Pirapora,3102,Norte de Minas,31006,Pirapora,3129608,Ibiaí
31,Minas Gerais,3102,Montes Claros,310006,Montes Claros,3102,Norte de Minas,31007,Montes Claros,3129657,Ibiracatu
31,Minas Gerais,3102,Montes Claros,310011,São Francisco,3102,Norte de Minas,31003,Januária,3130051,Icaraí de Minas
31,Minas Gerais,3102,Montes Claros,310008,Salinas,3102,Norte de Minas,31005,Salinas,3130655,Indaiabira
31,Minas Gerais,3102,Montes Claros,310006,Montes Claros,3102,Norte de Minas,31008,Grão Mogol,3132008,Itacambira
