codigo_uf;uf;codigo_do_territorio;territorio;tipo_rural_ou_cidadania;municipio;ibge
15;Pará;95;Transamazônica - PA;RC ;Brasil Novo;1501725
11;Rondônia;214;Cone Sul - RO;NV ;Cerejeiras;1100056
11;Rondônia;216;Zona da Mata - RO;NV ;Alta Floresta D`Oeste;1100015
11;Rondônia;98;Vale Do Jamarí - RO;RC ;Ariquemes;1100023
42;Santa Catarina;66;Oeste Catarinense - SC;TR ;Jardinópolis;4208955
11;Rondônia;214;Cone Sul - RO;NV ;Cabixi;1100031
42;Santa Catarina;238;Extremo Sul - SC;NV ;Jacinto Machado;4208708
11;Rondônia;152;Rio Machado - RO;TR ;Cacoal;1100049
11;Rondônia;215;Vale do Guaporé - RO;NV ;Costa Marques;1100080
11;Rondônia;216;Zona da Mata - RO;NV ;Nova Brasilândia D`Oeste;1100148
11;Rondônia;214;Cone Sul - RO;NV ;Colorado do Oeste;1100064
42;Santa Catarina;33;Meio Oeste Contestado - SC;RC ;Joaçaba;4209003
11;Rondônia;214;Cone Sul - RO;NV ;Corumbiara;1100072
42;Santa Catarina;239;Serra Mar - SC;NV ;Jaguaruna;4208807
11;Rondônia;152;Rio Machado - RO;TR ;Espigão D`Oeste;1100098
22;Piauí;96;Vale Do Guaribas - PI;RC ;Aroeiras do Itaim;2200954
11;Rondônia;53;Madeira Mamoré - RO;RC ;Guajará-Mirim;1100106
11;Rondônia;29;Central - RO;RC ;Jaru;1100114
24;Rio Grande do Norte;76;Seridó - RN;RC ;São Vicente;2413003
11;Rondônia;29;Central - RO;RC ;Ji-Paraná;1100122
42;Santa Catarina;33;Meio Oeste Contestado - SC;RC ;Jupiá;4209177
11;Rondônia;98;Vale Do Jamarí - RO;RC ;Machadinho D`Oeste;1100130
42;Santa Catarina;156;Serra Catarinense - SC;TR ;Lages;4209300
11;Rondônia;29;Central - RO;RC ;Ouro Preto do Oeste;1100155
42;Santa Catarina;11;Alto Vale do Itajaí - SC;TR ;Laurentino;4209508
11;Rondônia;152;Rio Machado - RO;TR ;Pimenta Bueno;1100189
42;Santa Catarina;155;Alto Vale do Rio do Peixe - SC;TR ;Lebon Régis;4209706
11;Rondônia;53;Madeira Mamoré - RO;RC ;Porto Velho;1100205
42;Santa Catarina;9;Alto Uruguai - SC;TR ;Lindóia do Sul;4209854
11;Rondônia;53;Madeira Mamoré - RO;RC ;Nova Mamoré;1100338
11;Rondônia;29;Central - RO;RC ;Alvorada D`Oeste;1100346
11;Rondônia;29;Central - RO;RC ;Presidente Médici;1100254
42;Santa Catarina;11;Alto Vale do Itajaí - SC;TR ;Lontras;4209904
11;Rondônia;98;Vale Do Jamarí - RO;RC ;Rio Crespo;1100262
42;Santa Catarina;33;Meio Oeste Contestado - SC;RC ;Luzerna;4210035
11;Rondônia;216;Zona da Mata - RO;NV ;Rolim de Moura;1100288
42;Santa Catarina;11;Alto Vale do Itajaí - SC;TR ;José Boiteux;4209151
11;Rondônia;98;Vale Do Jamarí - RO;RC ;Campo Novo de Rondônia;1100700
42;Santa Catarina;33;Meio Oeste Contestado - SC;RC ;Lacerdópolis;4209201
11;Rondônia;216;Zona da Mata - RO;NV ;Santa Luzia D`Oeste;1100296
11;Rondônia;214;Cone Sul - RO;NV ;Vilhena;1100304
42;Santa Catarina;70;Planalto Norte - SC;RC ;Mafra;4210100
11;Rondônia;215;Vale do Guaporé - RO;NV ;São Miguel do Guaporé;1100320
42;Santa Catarina;239;Serra Mar - SC;NV ;Laguna;4209409
11;Rondônia;216;Zona da Mata - RO;NV ;Alto Alegre dos Parecis;1100379
42;Santa Catarina;33;Meio Oeste Contestado - SC;RC ;Lajeado Grande;4209458
11;Rondônia;98;Vale Do Jamarí - RO;RC ;Alto Paraíso;1100403
11;Rondônia;98;Vale Do Jamarí - RO;RC ;Buritis;1100452
11;Rondônia;216;Zona da Mata - RO;NV ;Novo Horizonte do Oeste;1100502
11;Rondônia;98;Vale Do Jamarí - RO;RC ;Cacaulândia;1100601
42;Santa Catarina;239;Serra Mar - SC;NV ;Lauro Muller;4209607
11;Rondônia;53;Madeira Mamoré - RO;RC ;Candeias do Jamari;1100809
42;Santa Catarina;11;Alto Vale do Itajaí - SC;TR ;Leoberto Leal;4209805
11;Rondônia;29;Central - RO;RC ;Teixeirópolis;1101559
11;Rondônia;29;Central - RO;RC ;Theobroma;1101609
11;Rondônia;216;Zona da Mata - RO;NV ;Castanheiras;1100908
11;Rondônia;214;Cone Sul - RO;NV ;Chupinguaia;1100924
11;Rondônia;29;Central - RO;RC ;Nova União;1101435
11;Rondônia;98;Vale Do Jamarí - RO;RC ;Cujubim;1100940
12;Acre;4;Alto Acre e Capixaba - AC;RC ;Brasiléia;1200104
42;Santa Catarina;155;Alto Vale do Rio do Peixe - SC;TR ;Macieira;4210050
11;Rondônia;29;Central - RO;RC ;Governador Jorge Teixeira;1101005
11;Rondônia;152;Rio Machado - RO;TR ;Parecis;1101450
12;Acre;4;Alto Acre e Capixaba - AC;RC ;Capixaba;1200179
12;Acre;211;Tarauacá - Envira - AC;NV ;Feijó;1200302
11;Rondônia;53;Madeira Mamoré - RO;RC ;Itapuã do Oeste;1101104
11;Rondônia;152;Rio Machado - RO;TR ;Ministro Andreazza;1101203
11;Rondônia;29;Central - RO;RC ;Mirante da Serra;1101302
11;Rondônia;98;Vale Do Jamarí - RO;RC ;Monte Negro;1101401
11;Rondônia;214;Cone Sul - RO;NV ;Pimenteiras do Oeste;1101468
11;Rondônia;152;Rio Machado - RO;TR ;Primavera de Rondônia;1101476
11;Rondônia;152;Rio Machado - RO;TR ;São Felipe D`Oeste;1101484
11;Rondônia;215;Vale do Guaporé - RO;NV ;São Francisco do Guaporé;1101492
42;Santa Catarina;70;Planalto Norte - SC;RC ;Major Vieira;4210308
11;Rondônia;215;Vale do Guaporé - RO;NV ;Seringueiras;1101500
42;Santa Catarina;238;Extremo Sul - SC;NV ;Maracajá;4210407
11;Rondônia;29;Central - RO;RC ;Urupá;1101708
11;Rondônia;29;Central - RO;RC ;Vale do Anari;1101757
42;Santa Catarina;33;Meio Oeste Contestado - SC;RC ;Marema;4210555
11;Rondônia;29;Central - RO;RC ;Vale do Paraíso;1101807
12;Acre;144;Baixo Acre - AC;TR ;Acrelândia;1200013
12;Acre;4;Alto Acre e Capixaba - AC;RC ;Assis Brasil;1200054
12;Acre;144;Baixo Acre - AC;TR ;Bujari;1200138
42;Santa Catarina;70;Planalto Norte - SC;RC ;Matos Costa;4210704
12;Acre;106;Vale Do Juruá - AC;RC ;Cruzeiro do Sul;1200203
42;Santa Catarina;238;Extremo Sul - SC;NV ;Meleiro;4210803
12;Acre;4;Alto Acre e Capixaba - AC;RC ;Epitaciolândia;1200252
12;Acre;211;Tarauacá - Envira - AC;NV ;Jordão;1200328
12;Acre;106;Vale Do Juruá - AC;RC ;Mâncio Lima;1200336
42;Santa Catarina;11;Alto Vale do Itajaí - SC;TR ;Mirim Doce;4210852
12;Acre;106;Vale Do Juruá - AC;RC ;Marechal Thaumaturgo;1200351
