COD_MUN,POPULACAO_RURAL,POPULACAO_TOTAL,POPULACAO_URBANA,PIB,VAB,VAGRO,VINDU,VSERV,IDHM,IDHM_E,IDHM_L,IDHM_R,GINI,THEIL,ESTABELECIMENTOS,FAMILIAR,PRONAF_B,PRONAF_V,ESTAB_PEQUENOS,ESTAB_GRANDES,ESTAB_TOTAL_FINANCIAMENTO,ESTAB_FAMILIARL_FINANCIAMENTO,N_BOVINOS,VENDA_BOVINOS,VENDA_LEITE_BOVINOS,N_SUINOS,VENDA_SUINOS,N_AVES,VENDA_AVES,VENDA_OVOS,N_CAPRINOS,VENDA_CAPRINOS,VENDA_LEITE_CAPRINOS,N_OVINOS,VENDA_OVINOS,VENDA_LEITE_OVINOS,VENDA_LA_OVINOS,N_BUBALINOS,VENDA_BUBALINOS,VENDA_LEITE_BUBALINOS,VALOR_VENDA_TEMPORARIA,AREA_COLHIDA_TEMPORARIA,VALOR_VENDA_PERMANENTE,AREA_COLHIDA_PERMANENTE,VALOR_VENDA_PERMANENTE_MENOS_DE_50_PES,TERRITORIOS_CIDADANIA
3101003,3781,12722,8941,220892,200861,48088,8153,90595,0.601,0.458,0.808,0.586,0.51,0.48,614,453,400,51,8,27,37,126,8998,323,113,1051,548,17,1,7,95,0,0,46,0,0,0,0,0,0,941,1187,9599,535,1414,1
3106655,1885,4370,2485,40114,38458,3810,2934,10549,0.604,0.52,0.757,0.56,0.41,0.32,266,202,167,35,0,14,17,62,10966,242,126,514,333,5,1,1,0,0,0,96,0,0,0,0,0,0,638,325,591,232,5,1
3107307,10054,46654,36600,797235,698724,78697,128985,288274,0.7,0.644,0.822,0.648,0.51,0.47,2551,2070,1579,483,36,42,101,391,61478,4035,7509,5357,2476,114,42,110,81,0,0,350,0,0,0,0,0,0,3473,5484,4571,278,2227,1
3108255,7464,9673,2209,74049,71126,7203,2325,17517,0.537,0.388,0.776,0.514,0.57,0.63,1276,1051,1008,42,0,35,20,128,11042,955,NA,904,205,39,3,6,66,0,0,30,0,0,0,0,0,0,171,1097,6,2,0,0
3108503,3027,6497,3470,48341,46990,7355,1349,10700,0.602,0.517,0.782,0.54,0.46,0.42,817,615,528,87,2,5,25,114,8988,1900,158,1541,1398,31,9,12,0,0,0,62,0,0,0,0,0,0,353,646,129,25,24,0
3108602,10538,31213,20675,302161,284996,12370,14681,121004,0.656,0.568,0.813,0.612,0.54,0.53,2463,1992,1857,134,369,23,141,574,24933,2449,974,5235,1802,97,13,12,186,94,0,73,27,0,0,0,0,0,196,2433,42,3,4,0
3109402,3292,26922,23630,420003,395122,153192,15051,120886,0.624,0.524,0.768,0.603,0.41,0.31,759,505,436,69,3,132,34,103,61466,1469,361,18583,30359,23,3,5,229,6,0,377,0,0,0,0,0,0,89444,21546,25263,1716,0,0
3111150,2133,3684,1551,32965,31841,2912,1132,8546,0.621,0.546,0.799,0.55,0.48,0.45,447,358,336,22,18,7,14,64,8534,940,256,1353,692,21,3,3,0,0,0,0,0,0,0,0,0,0,44,341,0,0,1,0
3112703,2686,14206,11520,254158,229848,15197,81901,74319,0.639,0.565,0.806,0.573,0.47,0.37,486,296,230,66,25,43,54,83,25101,1930,2563,1814,1288,53,16,516,445,0,0,208,0,0,0,0,0,0,968,762,10662,444,7,0
3115474,2124,5102,2978,39496,38251,3573,1607,9453,0.621,0.549,0.773,0.563,0.5,0.47,565,318,276,42,1,3,60,70,7970,244,1619,874,196,9,1,1,44,0,0,0,0,0,0,0,0,0,75,644,0,0,0,1
